RepoID,Testing,Security,Research Support,Project Activity / Maintenance,Popularity / Engagement,Licensing & Compliance,Documentation,Dependency Analysis,Collaboration,Code Quality,AI Model Usage,GenAI Used,Agile Process
RID1,0,0,8,5,3,5,5,0,4.5,0,0,0,5
RID2,0,0,7,3,2,5,2,0,1,0,0,0,0
RID3,0,0,4,5,5,6,7,0,6.5,2,0,0,2
RID4,0,0,10,3,3,2,3,0,0,0,0,0,0
RID5,0,0,8,3,2,5,2,0,0,0,0,0,0
RID6,0,0,10,2,4,5,3,0,1,0,0,0,0
RID7,0,0,3,3,0,5,0,0,1,0,0,0,0
RID8,0,0,7,5,8,8,7,0,6.5,2,0,0,3
RID9,0,0,6,3,2,5,0,0,0,0,0,0,0
RID10,0,0,6,3,4,5,4,0,0,0,0,0,0
RID11,0,0,10,3,2,5,2,0,1,0,0,0,0
RID12,3,0,8,8,4,9,8,4,8.5,5,5,0,3
RID13,0,0,7,3,2,5,1,2,0,0,2,0,0
RID14,0,0,10,3,3,5,3,0,1,0,0,0,0
RID15,0,0,4,8,6,8,7,6,6,2,10,0,0
RID16,0,0,10,3,1,5,3,0,1,0,2,0,0
RID17,0,0,9,3,2,5,3,0,1,0,2,0,0
RID18,0,0,8,3,2,5,3,0,1,0,0,0,0
RID19,0,0,10,3,2,5,3,0,1,0,2,0,2
RID20,0,0,4,6,2,8,7,2,3,2,5,0,0
RID21,0,0,8,3,0,5,2,0,1,0,0,0,0
RID22,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID23,0,0,7,5,5,10,5,0,6.5,0,0,0,0
RID24,0,0,6,5,7,10,5,0,6.5,0,0,0,2
RID25,0,0,4,4,5,8,6,0,2.5,0,0,0,0
RID26,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID27,0,0,7,5,6,10,5,0,6.5,0,0,0,0
RID28,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID29,0,0,6,5,7,10,5,0,6.5,0,0,0,2
RID30,0,0,6,3,1,5,0,0,0,0,0,0,0
RID31,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID32,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID33,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID34,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID35,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID36,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID37,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID38,0,0,4,5,6,10,5,0,6.5,0,0,0,2
RID39,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID40,0,0,9,3,4,6,2,0,1,0,0,0,4
RID41,0,0,5,5,7,10,5,0,6.5,0,0,0,0
RID42,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID43,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID44,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID45,0,0,6,5,5,10,5,0,6.5,0,0,0,0
RID46,0,0,4,6,4,5,6,0,3.5,0,5,0,0
RID47,0,0,8,5,6,10,5,0,6.5,0,0,0,2
RID48,0,0,4,5,7,10,5,0,6.5,0,0,0,2
RID49,0,0,4,5,6,10,5,0,6.5,0,0,0,0
RID50,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID51,0,0,5,5,6,10,5,0,6.5,0,0,0,0
RID52,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID53,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID54,0,0,4,5,7,10,5,0,6.5,0,0,0,0
RID55,0,0,4,5,5,10,5,0,6.5,0,0,0,0
RID56,0,0,4,5,5,10,5,0,6.5,0,0,0,0
RID57,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID58,0,0,6,5,6,10,5,0,6.5,0,0,0,0
RID59,0,0,6,5,6,10,5,0,6.5,0,0,0,0
