RepoID,Cluster
RID1,1
RID2,0
RID3,1
RID4,0
RID5,0
RID6,0
RID7,0
RID8,2
RID9,0
RID10,0
RID11,0
RID12,3
RID13,0
RID14,0
RID15,3
RID16,0
RID17,0
RID18,0
RID19,0
RID20,1
RID21,0
RID22,2
RID23,2
RID24,2
RID25,2
RID26,2
RID27,2
RID28,2
RID29,2
RID30,0
RID31,2
RID32,2
RID33,2
RID34,2
RID35,2
RID36,2
RID37,2
RID38,2
RID39,2
RID40,0
RID41,2
RID42,2
RID43,2
RID44,2
RID45,2
RID46,1
RID47,2
RID48,2
RID49,2
RID50,2
RID51,2
RID52,2
RID53,2
RID54,2
RID55,2
RID56,2
RID57,2
RID58,2
RID59,2
RID60,2
RID61,0
RID62,2
RID63,2
RID64,2
RID65,2
RID66,2
RID67,2
RID68,2
RID69,2
RID70,2
RID71,2
RID72,2
RID73,2
RID74,2
RID75,2
RID76,2
RID77,0
RID78,0
RID79,2
RID80,2
RID81,0
RID82,2
RID83,2
RID84,2
RID85,2
RID86,2
RID87,2
RID88,2
RID89,3
RID90,2
RID91,2
RID92,2
RID93,0
RID94,2
RID95,2
RID96,2
RID97,2
RID98,2
RID99,3
RID100,2
RID101,2
RID102,2
RID103,0
RID104,2
RID105,2
RID106,2
RID107,2
RID108,2
RID109,3
RID110,1
RID111,3
RID112,3
RID113,2
RID114,1
RID115,0
RID116,0
RID117,0
RID118,0
RID119,0
RID120,0
RID121,0
RID122,0
RID123,0
RID124,0
RID125,2
RID126,0
RID127,1
RID128,0
RID129,0
RID130,1
RID131,2
RID132,0
RID133,0
RID134,3
RID135,0
RID136,1
RID137,3
RID138,3
RID139,1
RID140,0
RID141,0
RID142,0
RID143,3
RID144,3
RID145,2
RID146,2
RID147,2
RID148,1
RID149,0
RID150,0
RID151,2
RID152,0
RID153,0
RID154,1
RID155,0
RID156,0
RID157,1
RID158,1
RID159,0
RID160,0
RID161,0
RID162,0
RID163,0
RID164,0
RID165,3
RID166,3
RID167,0
RID168,0
RID169,3
RID170,0
RID171,0
RID172,0
RID173,0
RID174,0
RID175,0
RID176,0
RID177,2
RID178,1
RID179,1
RID180,3
RID181,0
RID182,0
RID183,0
RID184,2
RID185,0
RID186,2
RID187,2
RID188,0
RID189,0
RID190,0
RID191,0
RID192,1
RID193,0
RID194,1
RID195,1
RID196,2
RID197,3
RID198,0
RID199,0
RID200,1
RID201,1
RID202,1
RID203,1
RID204,3
